,time,open,high,low,close,tick_volume,spread,real_volume
243,1718007660,2294.67,2295.9,2294.55,2295.39,212,19,0
244,1718007840,2295.41,2295.73,2295.04,2295.27,160,19,0
245,1718008020,2295.22,2295.49,2294.89,2295.49,103,19,0
246,1718008200,2295.53,2297.06,2295.14,2296.47,340,19,0
247,1718008380,2296.48,2297.02,2295.81,2296.54,418,19,0
248,1718008560,2296.5,2296.5,2295.25,2296.22,208,19,0
249,1718008740,2296.16,2296.49,2295.78,2296.13,172,19,0
250,1718008920,2296.09,2297.11,2295.82,2296.99,133,19,0
251,1718009100,2296.97,2296.99,2295.94,2296.35,214,19,0
252,1718009280,2296.37,2296.76,2296.11,2296.54,193,19,0
253,1718009460,2296.54,2297.22,2296.31,2296.33,248,19,0
254,1718009640,2296.34,2296.86,2296.2,2296.22,208,19,0
255,1718009820,2296.22,2296.39,2295.54,2295.65,199,19,0
256,1718010000,2295.68,2295.84,2294.82,2294.85,333,19,0
257,1718010180,2294.87,2295.21,2292.82,2293.37,428,19,0
258,1718010360,2293.39,2296.03,2293.39,2295.91,374,19,0
259,1718010540,2295.91,2296.46,2295.25,2296.27,401,19,0
260,1718010720,2296.36,2296.49,2294.6,2295.12,313,19,0
261,1718010900,2295.11,2295.13,2293.69,2293.91,317,19,0
262,1718011080,2293.86,2293.86,2292.31,2292.73,398,19,0
263,1718011260,2292.73,2293.5,2292.28,2293.11,341,19,0
264,1718011440,2293.04,2293.22,2292.38,2292.73,278,19,0
265,1718011620,2292.73,2292.75,2290.4,2290.53,434,19,0
266,1718011800,2290.55,2292.47,2290.4,2292.15,412,19,0
267,1718011980,2292.13,2294.34,2292.12,2293.11,354,19,0
268,1718012160,2293.11,2293.58,2291.37,2291.6,289,19,0
269,1718012340,2291.59,2291.73,2290.29,2290.46,288,19,0
270,1718012520,2290.56,2290.59,2287.72,2288.81,508,19,0
271,1718012700,2288.8,2288.8,2287.71,2287.99,391,19,0
272,1718012880,2288.0,2290.78,2287.94,2290.41,450,19,0
273,1718013060,2290.32,2292.36,2290.32,2291.97,412,19,0
274,1718013240,2291.95,2292.89,2291.1,2291.16,412,19,0
275,1718013420,2291.15,2291.42,2290.05,2291.16,317,19,0
276,1718013600,2291.17,2292.43,2290.98,2291.62,492,19,0
277,1718013780,2291.58,2292.92,2291.33,2292.87,515,19,0
278,1718013960,2292.88,2293.12,2291.5,2291.63,391,19,0
279,1718014140,2291.64,2292.18,2290.47,2290.75,385,19,0
280,1718014320,2290.78,2292.27,2290.47,2291.74,463,19,0
281,1718014500,2291.71,2293.21,2291.53,2292.63,490,19,0
282,1718014680,2292.64,2294.15,2292.37,2294.12,494,19,0
283,1718014860,2294.11,2295.13,2293.28,2294.21,435,19,0
284,1718015040,2294.21,2295.72,2293.11,2295.34,454,19,0
285,1718015220,2295.34,2296.63,2295.11,2295.47,536,19,0
286,1718015400,2295.43,2295.44,2294.61,2295.15,474,19,0
287,1718015580,2295.16,2295.43,2294.51,2295.31,372,19,0
288,1718015760,2295.16,2295.44,2294.81,2295.05,308,19,0
289,1718015940,2295.04,2295.4,2294.43,2295.35,330,19,0
290,1718016120,2295.31,2295.61,2294.77,2294.93,309,19,0
291,1718016300,2294.91,2295.17,2294.35,2294.6,312,19,0
292,1718016480,2294.61,2296.51,2294.49,2296.18,320,19,0
293,1718016660,2296.13,2297.13,2295.87,2297.13,345,19,0
294,1718016840,2297.16,2297.18,2296.38,2296.63,290,19,0
295,1718017020,2296.64,2296.87,2295.88,2296.5,312,19,0
296,1718017200,2296.49,2296.75,2295.67,2296.26,379,19,0
297,1718017380,2296.39,2296.53,2295.38,2295.83,313,19,0
298,1718017560,2295.82,2297.46,2295.82,2297.32,301,19,0
299,1718017740,2297.35,2297.37,2295.6,2295.86,364,19,0
300,1718017920,2295.85,2297.3,2295.63,2297.02,302,19,0
301,1718018100,2297.02,2297.22,2296.08,2296.99,270,19,0
302,1718018280,2296.99,2297.01,2296.0,2296.37,338,19,0
303,1718018460,2296.39,2296.54,2295.98,2296.34,296,19,0
304,1718018640,2296.34,2296.97,2296.13,2296.97,261,19,0
305,1718018820,2296.99,2297.25,2294.56,2294.91,548,19,0
306,1718019000,2294.91,2296.37,2294.88,2295.54,383,19,0
307,1718019180,2295.56,2296.18,2295.09,2295.86,295,19,0
308,1718019360,2295.85,2297.06,2295.07,2297.04,329,19,0
309,1718019540,2297.05,2297.43,2296.43,2297.04,283,19,0
310,1718019720,2297.04,2297.04,2295.92,2295.92,244,19,0
311,1718019900,2295.88,2296.82,2295.74,2296.82,183,19,0
312,1718020080,2296.73,2296.85,2295.71,2295.92,178,19,0
313,1718020260,2295.85,2296.24,2293.83,2294.25,361,19,0
314,1718020440,2294.23,2294.61,2293.25,2293.32,383,19,0
315,1718020620,2293.07,2293.35,2292.4,2292.59,398,19,0
316,1718020800,2292.58,2293.33,2291.81,2291.92,565,19,0
317,1718020980,2291.94,2293.91,2291.78,2293.89,372,19,0
318,1718021160,2293.89,2294.33,2293.12,2293.13,327,19,0
319,1718021340,2293.13,2293.72,2292.81,2293.52,288,19,0
320,1718021520,2293.54,2294.36,2293.39,2294.28,299,19,0
321,1718021700,2294.29,2295.12,2294.06,2295.12,322,19,0
322,1718021880,2295.11,2296.32,2294.78,2295.98,461,19,0
323,1718022060,2295.94,2296.71,2295.65,2295.88,368,19,0
324,1718022240,2295.89,2296.5,2295.78,2296.35,206,19,0
325,1718022420,2296.34,2296.84,2295.78,2296.25,231,19,0
326,1718022600,2296.23,2297.43,2296.03,2297.14,343,19,0
327,1718022780,2297.13,2297.13,2296.19,2296.19,241,19,0
328,1718022960,2296.19,2296.26,2295.29,2295.64,213,19,0
329,1718023140,2295.63,2297.0,2295.5,2296.92,238,19,0
330,1718023320,2296.93,2297.36,2296.72,2297.09,252,19,0
331,1718023500,2297.12,2297.37,2296.61,2296.63,271,19,0
332,1718023680,2296.62,2296.64,2295.79,2295.95,192,19,0
333,1718023860,2295.96,2296.14,2295.19,2295.23,190,19,0
334,1718024040,2295.22,2295.51,2294.88,2294.99,209,19,0
335,1718024220,2295.05,2295.48,2294.63,2295.32,213,19,0
336,1718024400,2295.33,2296.38,2295.32,2296.33,212,19,0
337,1718024580,2296.3,2297.07,2295.93,2296.35,299,19,0
338,1718024760,2296.34,2297.04,2295.57,2295.98,486,19,0
339,1718024940,2295.98,2296.18,2295.25,2295.31,271,19,0
340,1718025120,2295.37,2296.97,2295.37,2296.8,214,19,0
341,1718025300,2296.82,2297.48,2296.6,2296.88,202,19,0
342,1718025480,2296.93,2296.93,2296.19,2296.44,170,19,0
343,1718025660,2296.42,2297.06,2296.05,2296.82,208,19,0
344,1718025840,2296.81,2297.06,2296.53,2296.75,135,19,0
345,1718026020,2296.77,2296.84,2295.72,2296.25,177,19,0
346,1718026200,2296.26,2296.77,2295.92,2296.39,221,19,0
347,1718026380,2296.38,2296.46,2295.55,2296.29,253,19,0
348,1718026560,2296.31,2296.74,2295.61,2296.72,246,19,0
349,1718026740,2296.73,2297.26,2296.54,2297.21,242,19,0
350,1718026920,2297.18,2297.37,2296.77,2297.26,168,19,0
351,1718027100,2297.27,2297.31,2296.04,2296.52,244,19,0
352,1718027280,2296.49,2297.51,2296.49,2297.19,242,19,0
353,1718027460,2297.22,2298.0,2297.08,2297.83,216,19,0
354,1718027640,2297.82,2298.51,2297.77,2298.37,269,19,0
355,1718027820,2298.41,2298.78,2297.72,2298.47,327,19,0
356,1718028000,2298.56,2299.9,2298.16,2299.61,595,19,0
357,1718028180,2299.51,2299.51,2297.88,2298.41,298,19,0
358,1718028360,2298.33,2298.84,2298.3,2298.78,244,19,0
359,1718028540,2298.77,2299.34,2298.58,2299.34,206,19,0
360,1718028720,2299.4,2300.58,2299.39,2300.46,412,19,0
361,1718028900,2300.45,2300.85,2299.47,2299.76,277,19,0
362,1718029080,2299.82,2301.16,2299.77,2300.52,301,19,0
363,1718029260,2300.52,2300.86,2299.79,2300.15,231,19,0
364,1718029440,2300.13,2300.78,2300.13,2300.43,321,19,0
365,1718029620,2300.47,2300.51,2298.8,2299.05,205,19,0
366,1718029800,2299.03,2300.42,2298.61,2299.86,308,19,0
367,1718029980,2299.83,2301.3,2299.83,2300.68,309,19,0
368,1718030160,2300.65,2301.14,2300.06,2300.34,273,19,0
369,1718030340,2300.35,2300.64,2299.64,2300.04,200,19,0
370,1718030520,2300.06,2300.31,2299.68,2299.71,201,19,0
371,1718030700,2299.74,2300.69,2299.72,2300.53,194,19,0
372,1718030880,2300.52,2300.81,2299.0,2300.81,503,19,0
373,1718031060,2300.79,2300.79,2300.0,2300.74,262,19,0
374,1718031240,2300.73,2304.95,2300.64,2303.67,515,19,0
375,1718031420,2303.67,2305.22,2303.0,2305.04,503,19,0
376,1718031600,2305.05,2306.73,2304.48,2304.48,613,19,0
377,1718031780,2304.49,2305.31,2303.8,2303.84,417,19,0
378,1718031960,2303.89,2304.73,2303.73,2303.73,379,19,0
379,1718032140,2303.76,2305.33,2303.1,2305.23,429,19,0
380,1718032320,2305.25,2306.16,2305.17,2305.84,431,19,0
381,1718032500,2305.83,2307.3,2305.18,2305.31,537,19,0
382,1718032680,2305.31,2308.63,2305.31,2308.41,702,19,0
383,1718032860,2308.36,2308.51,2305.48,2305.54,668,19,0
384,1718033040,2305.49,2306.22,2304.76,2305.65,549,19,0
385,1718033220,2305.64,2307.38,2304.86,2307.13,540,19,0
386,1718033400,2307.14,2307.36,2305.1,2305.31,629,19,0
387,1718033580,2305.39,2307.12,2304.61,2306.98,680,19,0
388,1718033760,2306.88,2307.06,2305.51,2305.73,607,19,0
389,1718033940,2305.78,2306.43,2305.65,2305.88,512,19,0
390,1718034120,2305.87,2306.28,2305.31,2305.77,368,19,0
391,1718034300,2305.81,2306.31,2304.88,2305.87,323,19,0
392,1718034480,2305.88,2306.29,2305.02,2305.03,350,19,0
393,1718034660,2305.02,2305.62,2305.01,2305.07,390,19,0
394,1718034840,2305.08,2305.64,2304.78,2305.02,382,19,0
395,1718035020,2305.1,2306.31,2304.69,2306.13,385,19,0
396,1718035200,2306.12,2307.29,2305.56,2307.04,409,19,0
397,1718035380,2307.03,2307.64,2306.29,2307.07,460,19,0
398,1718035560,2306.98,2307.26,2305.9,2305.92,470,19,0
399,1718035740,2305.93,2306.19,2304.99,2305.75,422,19,0
400,1718035920,2305.78,2306.94,2305.78,2306.93,304,19,0
401,1718036100,2306.94,2307.58,2306.48,2307.58,439,19,0
402,1718036280,2307.63,2307.7,2305.7,2306.49,429,19,0
403,1718036460,2306.51,2307.79,2306.51,2307.61,421,19,0
404,1718036640,2307.62,2307.68,2305.15,2305.34,566,19,0
405,1718036820,2305.34,2305.58,2303.75,2303.87,636,19,0
406,1718037000,2303.87,2304.05,2302.42,2302.8,937,19,0
407,1718037180,2302.82,2303.49,2301.47,2302.64,809,19,0
408,1718037360,2302.65,2306.27,2302.57,2304.8,816,19,0
409,1718037540,2304.8,2304.85,2302.92,2303.17,743,19,0
410,1718037720,2303.17,2304.42,2302.91,2303.75,531,19,0
411,1718037900,2303.78,2303.79,2300.37,2300.72,767,19,0
412,1718038080,2300.71,2303.25,2300.55,2303.2,642,19,0
413,1718038260,2303.22,2304.48,2303.19,2304.34,637,19,0
414,1718038440,2304.43,2304.74,2303.13,2304.69,599,19,0
415,1718038620,2304.66,2306.04,2304.43,2305.62,568,19,0
416,1718038800,2305.67,2306.55,2304.12,2304.37,672,19,0
417,1718038980,2304.4,2304.44,2302.74,2302.83,683,19,0
